,Station,Address,lat,lon,zipcode,Geo_FIPS,total_population_1_km,pop_below_18_1_km,pop_between_18_34_1_km,pop_between_34_65_1_km,pop_over_65_1_km,occupied_households_1_km,family_households_1_km,nonfamily_households_1_km,householder_less_than_high_school_1_km,householder_high_school_degree_1_km,householder_some_college_1_km,householder_bachelors_degree_1_km,older_than_3_in_school_1_km,older_than_3_not_in_school_1_km,not_high_school_grad_1_km,high_school_grad_1_km,employed_1_km,unemployed_1_km,not_in_labor_force_1_km,30_49_percet_income_to_rent_1_km,over_50_percent_income_to_rent_1_km,commuters_by_car_truck_van_1_km,commuters_by_car_truck_van_alone_1_km,commuters_by_car_truck_van_carpool_1_km,children_living_with_single_parents_1_km,private_sector_1_km,public_sector_1_km,self_employed_1_km,private_non-profit_1_km,unpaid_family_workers_1_km,households_social_security_income_1_km,households_SsI_1_km,households_retirement_income_1_km,housing_units_1_km,vacant_units_1_km,total_cars_1_km,concentrated_disadvantage_1_km,commute_time_1_km,median_household_income_1_km,average_household_size_1_km,population_density_1_km,median_house_value_1_km,ev_car_count_1_km,total_sessions,total_connection_time,total_amount,total_kwh,num_pois_nearby,distance_freeway
0,AUI-10372,"2316 W Martin Luther King Jr Blvd, Los Angeles, CA",34.0107197,-118.3188814,90008,6037234000,16368.93869,3432.662216,3800.557312,6770.864299,2364.854868,5944.60735,3499.38881,2445.21854,1255.123928,1197.732733,2081.839556,1409.911134,3530.319936,11958.68309,23.22601828,551.0773816,7704.204625,566.4515553,4938.121891,639.1937106,1152.622489,6036.462318,5357.563543,678.8987754,1026.917658,4879.360333,1184.431465,1104.998774,522.7704851,12.64356766,1689.549299,605.5995983,1048.888083,6362.85113,418.2437799,10939.94024,0.407144596,35.74963419,48473.55395,2.780123904,13514.80436,488010.9946,57.67260829,5,3:18,0,12.183,20,2.170656456
1,AUI-10263,"1231 S Hill St, Los Angeles, CA",34.0385137,-118.26189,90015-3018,6037207900,13071.57072,1446.514076,5828.655347,4688.228312,1108.172989,7567.046297,1917.390363,5649.655934,740.3488931,751.107413,1693.565871,4382.02412,2960.170353,9782.219604,22.51843129,577.2267105,7882.702986,438.3448521,3596.126485,1563.589426,1885.950557,4194.693033,3770.32452,424.3685129,449.6323755,5464.022978,491.1327865,1388.0355,534.8965151,4.615207163,833.2895029,367.6963641,115.970723,8830.256741,1263.210444,13155.03291,0.494394246,29.9656967,54479.35926,1.796846174,10773.02953,582742.8809,217.9758191,159,542:59:00,67.38,2846.116,99,1.977402031
2,AUI-10254,"942 S Crocker St, Los Angeles, CA",34.0351995,-118.2499719,90021,6037226002,8889.690374,629.4525966,2802.775003,4656.522127,800.940646,4757.730911,767.7928908,3989.93802,843.294458,716.9704854,1246.527274,1950.938693,1323.431954,7440.322401,24.26207919,223.4888434,4127.299858,476.7204153,3771.603648,1143.33502,1172.084476,1829.02939,1653.121899,175.9074909,191.2448815,2692.122457,304.6262847,764.2816428,354.2651317,12.00434177,739.7838237,713.1454922,93.98250341,5550.892741,793.1618299,7287.716765,1.141595944,32.48984414,33614.36644,1.655812043,7339.329559,490880.5968,134.815803,57,115:08:00,214.96,497.165,98,1.150072388
3,AUI-10265,"5764 S Vermont Ave, Los Angeles, CA",33.9897875,-118.2911317,90037,6037232700,25001.5704,7101.640753,7062.287323,8820.011429,2017.630889,6662.13639,4839.117257,1823.019133,2768.513605,1782.452413,1649.796272,461.3741009,7209.52593,16619.99309,100.4644062,1305.430261,10532.59847,835.3883558,7234.921465,1007.029304,1830.742746,8441.965077,7269.344989,1172.620089,2588.449481,8251.058379,731.8684494,1136.648478,398.5446939,14.47846976,1436.02552,711.5427878,649.0537703,6927.683691,265.5473009,12064.06779,0.970627111,36.09573691,36539.97805,3.757507539,20611.15652,363491.3738,23.86761273,26,32:57:00,50.29,139.396,30,3.551549083
4,AUI-10218,"7150 N Shoup Ave, Los Angeles, CA",34.200029,-118.614541,91303,6037134303,10376.02527,1935.495909,2375.700205,4571.061878,1493.767274,3311.110659,2396.587061,914.5235983,433.0472965,563.3005196,1029.573794,1285.18905,2543.511665,7490.73793,36.66664431,515.2800875,5448.950982,318.4184624,2910.90252,289.1208331,286.7020751,4396.130709,3939.828359,456.3023501,365.3586172,3893.254586,440.6665727,688.24627,405.3905766,21.39297735,913.2884059,230.4011937,460.2971319,3408.718724,97.60806479,6195.735227,-0.420071464,30.35402265,97072.6893,3.072698553,8655.452212,519904.6908,112.7038016,122,210:57:00,260.14,1142.335,36,1.237096662
5,AUI-10241,"20771 W Sherman Way, Los Angeles, CA",34.2011999,-118.4531985,91401-2649,6037127220,20736.27552,4837.85362,5875.48754,7816.289629,2206.644728,6815.861695,4260.713916,2555.147779,1541.777674,1586.154459,2107.568021,1580.361541,5499.493738,14310.75398,42.2148632,919.0110991,10382.22522,1147.528064,4793.580254,1718.594056,1744.815062,8362.709882,6626.401067,1736.308815,1386.499063,7860.662621,726.1231945,1279.829656,513.8825702,1.727180237,1444.894628,527.4985601,484.1490658,7047.078669,231.216974,12595.10124,0.603902673,32.50542713,43388.44011,3.030570446,17115.45763,442485.3414,257.7455191,17,59:03:00,29.2,158.86,33,5.869101475
6,AUI-10201,"145 E Olympic Blvd, Los Angeles, CA",34.0401526,-118.2564209,90015,6037207900,15556.29722,1148.014748,6528.854551,6469.648497,1409.779425,9475.23025,1981.418237,7493.812012,901.378854,963.3706922,2261.361371,5349.119333,2815.66612,12429.2763,20.80681499,508.4072324,9231.529219,627.7368456,4803.88088,1992.485849,2236.409782,4669.345888,4274.799526,394.5463622,261.2553689,6258.637645,614.1062224,1753.988046,594.9142799,9.883025437,1259.535564,667.6178104,150.5782381,11122.26739,1647.037139,15919.58079,0.572726692,30.52029887,55116.92505,1.586015955,12812.74725,597427.3564,292.1796543,60,165:30:00,84.68,550.297,109,1.32818057
7,AUI-10226,"1222 S Grand Ave, Los Angeles, CA",34.0392827,-118.2635887,90015,6037207900,13920.92521,1643.279324,6150.939257,4928.798083,1197.90855,7835.134326,2084.670694,5750.463632,825.7081391,810.8788514,1693.594652,4504.952683,3221.738487,10337.02713,24.2167646,617.531917,8291.623316,450.1415099,3845.99461,1618.28691,1968.434754,4442.406781,3963.769727,478.6370535,532.1772139,5799.150739,499.4125077,1420.46791,569.9071222,2.6850368,864.4957644,386.4002905,128.8706224,9113.302522,1278.168196,13650.45555,0.435098069,29.85384144,56586.41395,1.831226733,11479.64773,593245.1974,227.5315596,139,774:06:00,81.94,3446.609,100,1.410678383
8,AUI-10212,"1676 N Hobart Blvd, Los Angeles, CA",34.1013974,-118.3056538,90029-3737,6037190520,30905.17282,3243.392632,10119.24371,13146.64048,4395.895997,13728.93054,5421.978203,8306.952333,1884.486764,2307.483476,3486.800044,6050.160253,4806.466702,25465.89069,31.54227833,654.426725,17976.18099,1370.42307,8673.614654,3430.806032,3830.136154,10711.93007,9662.15429,1049.775778,853.2631327,11385.21977,1167.838985,3058.472556,2338.354726,26.29494586,2272.288569,1558.673673,528.0880404,14903.29711,1174.366571,23985.44411,0.296631187,29.03208919,69471.87169,2.217084219,25536.58543,966930.876,128.3197339,34,45:01:00,20.1,157.361,56,1.376174073
9,AUI-10244,"5617 N Laurel Canyon Blvd, Los Angeles, CA",34.2259818,-118.3978384,91352,6037121010,10278.97075,2418.502752,2912.001423,3806.908077,1141.558497,2419.505402,1954.851034,464.654368,821.8430642,547.7288506,509.5097361,540.4237507,2716.526467,7084.49915,5.964073119,550.8087574,4582.229966,271.7118645,3296.645008,171.7587392,386.3138069,4003.381334,3263.212844,740.1684896,490.558965,3231.505623,495.2254984,523.3570246,332.1418198,0,647.1456301,238.7215862,304.508527,2551.223899,131.7184974,4602.679224,-0.143410104,32.66990748,60377.38719,4.080929782,8645.758072,444090.4567,28.21084165,25,77:54:00,11.05,317.646,26,4.96380288
